300
('X', (1, 3), (1, 2)), 297.9995571239997
('O', (2, 1), (2, 2)), 296.9996340280013
('X', (1, 4), (2, 4)), 295.99921899699984
('O', (4, 1), (4, 2)), 293.9991399690043
('O', (2, 1), (2, 0)), 293.99893859299846
('O', (5, 1), (4, 1)), 290.99869378500443
('X', (0, 4), (0, 3)), 291.9506439559991
('X', (0, 5), (0, 4)), 287.99828356300713
('O', (5, 4), (5, 3)), 289.9503115039988
('X', (4, 5), (4, 4)), 284.9980210700087
('O', (5, 5), (5, 4)), 287.94988860599915
('O', (3, 5), (2, 5)), 281.99766376501066
('O', (3, 0), (3, 1)), 285.94949925499895
('O', (4, 0), (3, 0)), 278.9973323760132
('O', (5, 0), (5, 1)), 283.9490995349988
('X', (3, 5), (3, 4)), 275.9970447650121
('X', (4, 5), (3, 5)), 281.94891167199967
('O', (4, 0), (5, 0)), 272.99662034201174
('O', (1, 0), (1, 1)), 279.9487620689979
('O', (0, 0), (0, 1)), 269.9962355890093
('X', (5, 5), (4, 5)), 277.9482558710006
('X', (5, 2), (4, 3)), 266.9955670650088
