300
('O', (3, 2), (4, 2)), 292.3300423889996
('O', (2, 2), (2, 1)), 297.999678107999
('O', (3, 2), (2, 2)), 289.19837911599825
('X', (3, 4), (3, 3)), 295.99944678300017
('X', (4, 4), (4, 3)), 288.4055171409982
('X', (2, 4), (3, 4)), 293.9990710710008
('O', (3, 1), (4, 1)), 288.07982962499955
('O', (3, 0), (4, 0)), 291.99857340400195
('O', (3, 1), (3, 2)), 287.64538043299945
('O', (3, 0), (2, 0)), 289.99812875000134
('X', (1, 4), (2, 4)), 287.5496698199986
('X', (1, 3), (1, 2)), 287.99775634100115
('X', (2, 3), (1, 3)), 287.4996066909989
('X', (0, 3), (0, 4)), 285.99745372000143
('X', (0, 2), (0, 3)), 287.4821838359985
('X', (0, 1), (0, 0)), 283.9972524900022
('X', (1, 1), (0, 1)), 287.4778170019981
('X', (1, 0), (1, 1)), 281.9969569540026
('O', (3, 1), (3, 0)), 287.45125063999876
('O', (5, 1), (5, 0)), 279.9966345250032
