300
('O', (4, 2), (3, 2)), 291.99953979100246
('X', (3, 4), (2, 4)), 284.8008837449961
('O', (4, 3), (3, 3)), 283.9993156280034
('X', (3, 5), (3, 4)), 270.51355375899584
('O', (4, 5), (4, 4)), 275.99883471600333
('O', (5, 5), (4, 5)), 256.98753974399733
('X', (0, 5), (1, 5)), 267.99858057500387
('O', (5, 1), (4, 1)), 244.13779416200123
('X', (0, 2), (1, 2)), 259.9982785550019
('X', (0, 4), (0, 3)), 231.930758237002
('O', (5, 4), (5, 3)), 251.99794124600157
('O', (5, 5), (5, 4)), 220.3339114190021
('X', (0, 5), (0, 4)), 243.99769404500694
('O', (5, 2), (4, 2)), 209.31689119600196
('O', (5, 1), (5, 0)), 235.99719265900785
('X', (2, 5), (3, 5)), 198.85072647299967
('X', (0, 5), (1, 4)), 227.99683036800707
