300
('X', (3, 1), (3, 0)), 297.9996045689986
('O', (2, 1), (2, 2)), 284.999408787
('X', (3, 4), (3, 3)), 295.99922605499887
('X', (2, 4), (2, 3)), 270.7488559859994
('X', (2, 5), (2, 4)), 293.9988788959963
('O', (1, 1), (2, 1)), 257.21094487899245
('O', (1, 0), (2, 0)), 291.9983995829971
('O', (0, 0), (1, 0)), 244.3500631559873
('O', (0, 2), (1, 2)), 289.9978939450011
('O', (0, 5), (1, 5)), 232.132057987983
('X', (3, 5), (4, 5)), 287.96886857600475
('X', (2, 5), (3, 5)), 220.5250067039815
('O', (0, 2), (0, 1)), 285.96832148600515
('O', (0, 4), (0, 5)), 209.49699376698118
('O', (0, 2), (0, 3)), 283.9574310530006
('O', (0, 0), (0, 2)), 67.52879086398752
('O', (4, 0), (5, 0)), 281.44673324999894
('O', (4, 2), (3, 2)), 61.934348560993385
