300
('O', (3, 2), (4, 2)), 291.17601913699764
('O', (0, 2), (1, 2)), 284.9995767020009
('X', (5, 3), (4, 3)), 282.35213191999355
('X', (5, 1), (4, 1)), 270.29105097999854
('X', (5, 4), (4, 4)), 273.52822034399287
('X', (5, 5), (4, 5)), 256.7761189809971
('O', (0, 3), (1, 3)), 264.7044866679935
('O', (0, 1), (0, 2)), 243.93703257799643
('O', (2, 1), (2, 0)), 255.88065442999505
('O', (1, 1), (2, 1)), 230.71595279900066
('X', (5, 3), (5, 2)), 247.0568945559935
('O', (1, 0), (0, 0)), 219.17990093900153
('O', (1, 1), (0, 1)), 238.2331760639936
('X', (5, 4), (5, 5)), 208.2206616209951
('X', (5, 3), (5, 4)), 229.40935855899443
('X', (5, 1), (5, 0)), 197.80923332800012
('X', (5, 3), (5, 1)), 220.5854075699972
('X', (3, 3), (3, 2)), 187.9183481029977
('X', (2, 3), (2, 2)), 211.76150761399185
('X', (3, 3), (2, 3)), 178.52222130599694
('X', (3, 4), (3, 3)), 202.937647035993
('X', (2, 4), (1, 4)), 169.5956932429981
('O', (1, 0), (1, 1)), 194.1138081179888
('O', (3, 0), (3, 1)), 161.115640420001
