300
('O', (2, 3), (2, 2)), 291.1759635769995
('O', (0, 3), (1, 3)), 291.9996261680062
('X', (3, 1), (3, 2)), 282.3519346789981
('X', (1, 1), (1, 2)), 283.93777577100263
('X', (1, 0), (1, 1)), 273.5281040839982
('O', (0, 5), (1, 5)), 275.9372654110048
('O', (0, 4), (1, 4)), 264.1864573290004
('X', (3, 0), (3, 1)), 267.9367419800037
('O', (0, 3), (0, 2)), 255.3623360240017
('O', (0, 4), (0, 3)), 259.93624875300156
('X', (0, 0), (1, 0)), 246.53846028600674
('X', (0, 1), (0, 0)), 251.93597222000244
('X', (0, 5), (5, 2)), 237.7144895080055
('X', (0, 1), (4, 2)), 243.8568136610047
('X', (0, 5), (2, 3)), 228.89068278999912
('O', (2, 4), (2, 5)), 235.85649677100446
('O', (3, 4), (3, 3)), 220.0668495919963
('O', (3, 5), (3, 4)), 227.73121876799996
('X', (0, 4), (0, 5)), 211.24281872699794
('O', (5, 5), (4, 5)), 219.73100700399664
('X', (0, 1), (0, 4)), 202.41892266899958
('O', (5, 4), (4, 4)), 211.73066491699137
('O', (5, 3), (5, 4)), 193.5950666619974
('X', (2, 1), (2, 0)), 203.7304001339944
('X', (0, 1), (3, 0)), 184.7713528029999
