300
('O', (4, 2), (3, 2)), 294.99969373099884
('X', (0, 3), (1, 3)), 284.99949307699717
('X', (0, 2), (1, 2)), 289.99935632300185
('O', (5, 2), (4, 2)), 270.74910889199964
('X', (0, 3), (0, 2)), 269.99907702800556
('O', (5, 3), (4, 3)), 257.2113515439996
('O', (5, 5), (5, 4)), 249.998788763005
('O', (4, 5), (3, 5)), 244.35051460900286
('O', (5, 5), (4, 5)), 237.4982948550096
('X', (0, 4), (0, 5)), 232.13265882700216
('X', (2, 4), (3, 4)), 225.62302289201034
('X', (2, 1), (2, 2)), 220.52554200500163
('X', (4, 1), (3, 1)), 214.34151357901283
('X', (4, 0), (3, 0)), 209.49883859000693
('X', (5, 0), (4, 0)), 203.6242531660173
('X', (5, 3), (5, 2)), 199.02367178600252
('O', (2, 5), (2, 4)), 193.4428599730163
('X', (5, 5), (5, 3)), 189.0723158480032
('X', (5, 1), (4, 1)), 183.7704855660195
('O', (1, 5), (1, 4)), 179.61845484200603
('O', (2, 5), (1, 5)), 174.58153611901798
('O', (5, 5), (4, 4)), 170.63648595400446
