300
('O', (3, 2), (4, 2)), 293.16809359200124
('O', (2, 2), (3, 2)), 296.9658850730011
('X', (4, 3), (4, 4)), 290.40439270700153
('X', (2, 3), (3, 3)), 293.9654124279987
('X', (2, 4), (3, 4)), 289.2795638969983
('O', (2, 1), (3, 1)), 290.9649118589987
('O', (2, 0), (3, 0)), 288.3528670909982
('X', (2, 2), (2, 1)), 287.96432139899844
('O', (1, 0), (1, 1)), 288.0188583470008
('X', (2, 3), (1, 3)), 284.96405574399614
('O', (2, 0), (1, 0)), 287.9430394230003
('O', (4, 0), (4, 1)), 281.96367477099557
('O', (5, 0), (5, 1)), 287.89602973800356
('X', (2, 5), (1, 5)), 278.89626866999606
('X', (3, 5), (2, 5)), 287.81940013800704
('X', (5, 5), (5, 4)), 275.8861576759955
('X', (4, 5), (5, 5)), 287.78042156400625
('X', (3, 5), (4, 5)), 272.8859149139935
('X', (0, 5), (0, 4)), 287.75056087000485
('X', (3, 5), (2, 4)), 269.8855265449929
